result_dir,experiment_label,data_scope,mechanism,missing_rates,seed_count,seeds,method_count,methods,max_chunks,chunk_count_detected,is_sample,is_historical_test,is_full_61_chunk,has_generate_missing,has_impute,has_summarize,has_validate,has_figures,current_status,usable_for_paper_main_table,notes
results/real_data_missingness_experiments,未找到明确证据，需要人工确认,未找到明确证据，需要人工确认,"[""mcar_point""]","[""0.0"", ""0.05"", ""0.1"", ""0.2"", ""0.3""]",5,"[""42"", ""2024"", ""3407"", ""1234"", ""5678""]",3,"[""zero_fill"", ""forward_fill"", ""linear_interpolation""]",10.0,,False,False,False,False,False,True,True,True,summaries_present_without_validation,False,
results/real_data_missingness_experiments_geo_func,geo_function_subexperiment,geo_function_subexperiment,未找到明确证据，需要人工确认,,0,[],0,[],,,False,False,False,False,False,False,False,False,summaries_present_without_validation,False,
results/real_data_missingness_experiments_medium,medium,medium,未找到明确证据，需要人工确认,,0,[],0,[],,,False,False,False,False,False,False,False,False,summaries_present_without_validation,False,
results/real_data_missingness_experiments_sample,sample,sample,未找到明确证据，需要人工确认,,0,[],0,[],,,True,False,False,False,False,True,True,True,summaries_present_without_validation,False,
results/real_data_missingness_full_intersection,full_intersection,full_intersection,未找到明确证据，需要人工确认,,0,[],0,[],,,False,False,False,False,False,False,False,False,missing,False,
results/real_data_missingness_full_intersection_causal_history,61_chunk_main_directory,61_chunk_main_directory,mcar_point,"[""0.05""]",1,"[""42""]",6,"[""forward_fill"", ""function_curve_fit"", ""geo_func_hybrid"", ""geo_neighbor_fill"", ""historical_linear_extrapolation"", ""zero_fill""]",0.0,61.0,False,False,True,True,True,True,True,True,full_61_chunk_6_method_closed,False,"generate_missing: 60 completed, 1 skipped_existing, unique_chunks=61 impute: 366 completed, 0 skipped_existing, unique_chunks=61 batch_report total_chunks_selected=61, summary_exclude_warmup_row_count=6 5% MCAR, seed=42, 61 chunks, 6 methods, generate_missing/impute/summarize/validate closed"
results/real_data_missingness_full_intersection_causal_history/historical_test,8_chunk_historical_test,8_chunk_historical_test,mcar_point,"[""0.05""]",1,"[""42""]",6,"[""forward_fill"", ""function_curve_fit"", ""geo_func_hybrid"", ""geo_neighbor_fill"", ""historical_linear_extrapolation"", ""zero_fill""]",8.0,8.0,False,True,False,True,True,True,True,True,validated_and_summarized,False,"generate_missing: 8 completed, 0 skipped_existing, unique_chunks=8 impute: 19 completed, 29 skipped_existing, unique_chunks=8 batch_report total_chunks_selected=8, summary_exclude_warmup_row_count=6 当前有 8 chunk、5% MCAR、排除 warmup 的正式 summary，可用于阶段性说明，但不代表最终全量主表。"
results/real_data_missingness_full_intersection_causal_history/smoke_test,1_chunk_smoke_test,1_chunk_smoke_test,mcar_point,"[""0.05""]",1,"[""42""]",6,"[""forward_fill"", ""function_curve_fit"", ""geo_func_hybrid"", ""geo_neighbor_fill"", ""historical_linear_extrapolation"", ""zero_fill""]",1.0,1.0,False,False,False,True,True,True,True,True,validated_and_summarized,False,"generate_missing: 1 completed, 0 skipped_existing, unique_chunks=1 impute: 6 completed, 0 skipped_existing, unique_chunks=1 batch_report total_chunks_selected=1, summary_exclude_warmup_row_count=0"
results/real_data_missingness_full_intersection_causal_history_hybridtest,hybridtest,hybridtest,mcar_point,"[""0.05""]",1,"[""42""]",1,"[""geo_func_hybrid""]",1.0,1.0,False,False,False,True,True,False,True,False,validated_and_summarized,False,
results/real_data_missingness_full_intersection_causal_history_hybridtest_small,hybridtest_small,hybridtest_small,mcar_point,"[""0.05""]",1,"[""42""]",1,"[""geo_func_hybrid""]",1.0,1.0,False,False,False,True,True,True,True,True,validated_and_summarized,False,
results/real_data_missingness_full_intersection_causal_history_smoketest,1_chunk_smoke_test,1_chunk_smoke_test,mcar_point,"[""0.05""]",1,"[""42""]",5,"[""forward_fill"", ""function_curve_fit"", ""geo_func_hybrid"", ""geo_neighbor_fill"", ""historical_linear_extrapolation""]",1.0,1.0,False,False,False,True,True,False,False,False,summaries_present_without_validation,False,
results/real_data_missingness_mechanism_audit,未找到明确证据，需要人工确认,未找到明确证据，需要人工确认,未找到明确证据，需要人工确认,,0,[],0,[],,,False,False,False,False,False,False,False,False,missing,False,
results/real_data_preprocessing,preprocessing_audit,preprocessing_audit,未找到明确证据，需要人工确认,,0,[],0,[],,,False,False,False,False,False,False,False,False,directory_present_no_complete_stage_evidence,False,
