file_path,file_name,extension,size_bytes,parent_result_dir,detected_plot_type,detected_metric,detected_missing_rate_scope,is_single_rate_plot,is_multi_rate_plot,has_repeated_5_percent_axis_issue,paper_ready,recommended_fix,notes
results/real_data_missingness_experiments/figures/missing_rate_vs_imputation_rmse.pdf,missing_rate_vs_imputation_rmse.pdf,.pdf,14847,results/real_data_missingness_experiments,overall,RMSE,multi_rate,False,True,False,True,,标题根据文件名推断。
results/real_data_missingness_experiments/figures/missing_rate_vs_imputation_rmse.png,missing_rate_vs_imputation_rmse.png,.png,155403,results/real_data_missingness_experiments,overall,RMSE,multi_rate,False,True,False,True,,标题根据文件名推断。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse.pdf,missing_rate_vs_imputation_rmse.pdf,.pdf,20190,results/real_data_missingness_experiments_sample,overall,RMSE,未找到明确证据，需要人工确认,False,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse.png,missing_rate_vs_imputation_rmse.png,.png,220040,results/real_data_missingness_experiments_sample,overall,RMSE,未找到明确证据，需要人工确认,False,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_experiments_sample/figures/missing_rate_vs_imputation_rmse_log_y.png,missing_rate_vs_imputation_rmse_log_y.png,.png,212459,results/real_data_missingness_experiments_sample,overall,RMSE,未找到明确证据，需要人工确认,False,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/missing_rate_vs_imputation_rmse.pdf,missing_rate_vs_imputation_rmse.pdf,.pdf,17079,results/real_data_missingness_full_intersection_causal_history/historical_test,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/missing_rate_vs_imputation_rmse.png,missing_rate_vs_imputation_rmse.png,.png,135573,results/real_data_missingness_full_intersection_causal_history/historical_test,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/rmse_difference_relative_to_forward_fill.pdf,rmse_difference_relative_to_forward_fill.pdf,.pdf,15519,results/real_data_missingness_full_intersection_causal_history/historical_test,delta,RMSE,single_rate,True,False,False,True,,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/rmse_difference_relative_to_forward_fill.png,rmse_difference_relative_to_forward_fill.png,.png,117590,results/real_data_missingness_full_intersection_causal_history/historical_test,delta,RMSE,single_rate,True,False,False,True,,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/zoom_historical_geo_function_rmse.pdf,zoom_historical_geo_function_rmse.pdf,.pdf,17237,results/real_data_missingness_full_intersection_causal_history/historical_test,zoom,RMSE,single_rate,True,False,False,True,,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/historical_test/figures/zoom_historical_geo_function_rmse.png,zoom_historical_geo_function_rmse.png,.png,115775,results/real_data_missingness_full_intersection_causal_history/historical_test,zoom,RMSE,single_rate,True,False,False,True,,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/missing_rate_vs_imputation_rmse.pdf,missing_rate_vs_imputation_rmse.pdf,.pdf,14443,results/real_data_missingness_full_intersection_causal_history/smoke_test,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/missing_rate_vs_imputation_rmse.png,missing_rate_vs_imputation_rmse.png,.png,97866,results/real_data_missingness_full_intersection_causal_history/smoke_test,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/rmse_difference_relative_to_forward_fill.pdf,rmse_difference_relative_to_forward_fill.pdf,.pdf,13191,results/real_data_missingness_full_intersection_causal_history/smoke_test,delta,RMSE,single_rate,True,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/rmse_difference_relative_to_forward_fill.png,rmse_difference_relative_to_forward_fill.png,.png,83022,results/real_data_missingness_full_intersection_causal_history/smoke_test,delta,RMSE,single_rate,True,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/zoom_historical_geo_function_rmse.pdf,zoom_historical_geo_function_rmse.pdf,.pdf,14103,results/real_data_missingness_full_intersection_causal_history/smoke_test,zoom,RMSE,single_rate,True,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history/smoke_test/figures/zoom_historical_geo_function_rmse.png,zoom_historical_geo_function_rmse.png,.png,86852,results/real_data_missingness_full_intersection_causal_history/smoke_test,zoom,RMSE,single_rate,True,False,False,False,仅适合作为调试或附录图，论文主文需替换为正式实验图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/missing_rate_vs_imputation_rmse.pdf,missing_rate_vs_imputation_rmse.pdf,.pdf,14443,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/missing_rate_vs_imputation_rmse.png,missing_rate_vs_imputation_rmse.png,.png,97943,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,overall,RMSE,single_rate,True,False,True,False,单缺失率 5% 不宜画成 missing-rate 曲线，建议改为方法对比柱状图或点图。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/rmse_difference_relative_to_forward_fill.pdf,rmse_difference_relative_to_forward_fill.pdf,.pdf,13191,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,delta,RMSE,single_rate,True,False,False,False,需结合正式多缺失率或全量结果后再用于论文。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/rmse_difference_relative_to_forward_fill.png,rmse_difference_relative_to_forward_fill.png,.png,83044,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,delta,RMSE,single_rate,True,False,False,False,需结合正式多缺失率或全量结果后再用于论文。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/zoom_historical_geo_function_rmse.pdf,zoom_historical_geo_function_rmse.pdf,.pdf,14103,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,zoom,RMSE,single_rate,True,False,False,False,需结合正式多缺失率或全量结果后再用于论文。,标题根据文件名推断。
results/real_data_missingness_full_intersection_causal_history_hybridtest_small/figures/zoom_historical_geo_function_rmse.png,zoom_historical_geo_function_rmse.png,.png,86860,results/real_data_missingness_full_intersection_causal_history_hybridtest_small,zoom,RMSE,single_rate,True,False,False,False,需结合正式多缺失率或全量结果后再用于论文。,标题根据文件名推断。
