result_dir,exists,total_files,total_size_bytes,has_run_config,has_run_commands,has_audit_json,has_audit_md,has_validation_json,has_validation_md,has_manifests,has_summaries,has_figures,has_masks,has_missing_datasets,has_imputed_datasets,parquet_count,csv_count,json_count,md_count,png_count,pdf_count,detected_scope,detected_status,notes
results/real_data_missingness_experiments,True,12,439660,True,True,True,True,False,False,False,True,True,False,False,False,0,5,2,2,1,1,未找到明确证据，需要人工确认,summaries_present_without_validation,
results/real_data_missingness_experiments_geo_func,True,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,geo_function_subexperiment,summaries_present_without_validation,
results/real_data_missingness_experiments_medium,True,0,0,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,medium,summaries_present_without_validation,
results/real_data_missingness_experiments_sample,True,8,467606,False,False,True,True,False,False,False,True,True,False,False,False,0,3,1,1,2,1,sample,summaries_present_without_validation,
results/real_data_missingness_full_intersection,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,full_intersection,missing,
results/real_data_missingness_full_intersection_causal_history,True,1064,21599699682,True,True,True,True,True,True,True,True,True,True,True,True,560,460,12,11,9,9,61_chunk_main_directory,validated_and_summarized,"generate_missing: 60 completed, 1 skipped_existing, unique_chunks=61 impute: 366 completed, 0 skipped_existing, unique_chunks=61 batch_report total_chunks_selected=61, summary_exclude_warmup_row_count=6"
results/real_data_missingness_full_intersection_causal_history/historical_test,True,138,2470395174,True,True,True,True,True,True,True,True,True,True,True,True,64,60,4,3,3,3,8_chunk_historical_test,validated_and_summarized,"generate_missing: 8 completed, 0 skipped_existing, unique_chunks=8 impute: 19 completed, 29 skipped_existing, unique_chunks=8 batch_report total_chunks_selected=8, summary_exclude_warmup_row_count=6"
results/real_data_missingness_full_intersection_causal_history/smoke_test,True,40,311045299,True,True,True,True,True,True,True,True,True,True,True,True,8,18,4,3,3,3,1_chunk_smoke_test,validated_and_summarized,"generate_missing: 1 completed, 0 skipped_existing, unique_chunks=1 impute: 6 completed, 0 skipped_existing, unique_chunks=1 batch_report total_chunks_selected=1, summary_exclude_warmup_row_count=0"
results/real_data_missingness_full_intersection_causal_history_hybridtest,True,13,129502,True,True,False,False,True,True,True,True,False,True,True,True,3,6,2,1,0,0,hybridtest,validated_and_summarized,
results/real_data_missingness_full_intersection_causal_history_hybridtest_small,True,24,360067,True,True,True,True,True,True,True,True,True,True,True,True,3,9,3,2,3,3,hybridtest_small,validated_and_summarized,
results/real_data_missingness_full_intersection_causal_history_smoketest,True,19,951344,True,True,False,False,False,False,True,True,False,True,True,True,7,10,1,0,0,0,1_chunk_smoke_test,summaries_present_without_validation,
results/real_data_missingness_mechanism_audit,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,未找到明确证据，需要人工确认,missing,
results/real_data_preprocessing,True,4,706642,False,False,True,True,False,False,False,False,False,False,False,False,0,2,1,1,0,0,preprocessing_audit,directory_present_no_complete_stage_evidence,
