file_path,file_name,category,exists,size_bytes,last_modified,detected_purpose,defines_missing_mechanism,defines_imputation_method,supports_causal_history,supports_full_intersection_data,supports_node_temporal_block,supports_generate_missing,supports_impute,supports_validate,supports_summarize,key_functions,key_cli_args,notes
analysis_scripts/audit_missingness_mechanism.py,audit_missingness_mechanism.py,required,False,,,缺失机制审计脚本,False,False,False,False,False,False,False,False,False,[],[],
analysis_scripts/audit_real_data_preprocessing.py,audit_real_data_preprocessing.py,required,True,39376.0,2026-06-10T22:01:37,真实数据预处理资产审计脚本,False,False,False,False,False,False,False,False,True,"[""build_markdown_report"", ""classify_data_file"", ""collect_code_evidence"", ""count_lines"", ""detect_file_role"", ""detect_header"", ""detect_sensor_node_columns"", ""detect_time_column"", ""detect_traffic_columns"", ""extract_evidence_lines"", ""extract_usability_evidence"", ""infer_time_frequency"", ""json_dumps"", ""main"", ""read_code_text"", ""read_delimited_sample"", ""read_excel_sample"", ""read_json_sample"", ""read_parquet_sample"", ""read_table_sample""]",[],
analysis_scripts/check_spatial_node_completeness.py,check_spatial_node_completeness.py,analysis,True,31307.0,2026-05-27T14:10:43,未找到明确证据，需要人工确认,False,False,False,True,False,False,False,False,True,"[""build_topology_comparison"", ""ensure_required_columns"", ""format_available_columns"", ""infer_topology_node_columns"", ""invalid_flow_expr"", ""list_input_files"", ""load_topology_node_df"", ""main"", ""parse_args"", ""read_day_data"", ""read_table"", ""resolve_topology_columns"", ""summarize_day"", ""write_missing_details""]","[""--flow-col"", ""--input-dir"", ""--input-pattern"", ""--node-col"", ""--output-dir"", ""--slots-per-day"", ""--source-col"", ""--target-col"", ""--time-col"", ""--topology-path"", ""--write-missing-detail""]",
analysis_scripts/compare_date_type_curve_methods.py,compare_date_type_curve_methods.py,analysis,True,73047.0,2026-06-07T02:01:19,函数曲线或形态建模相关脚本,False,False,False,True,False,False,False,False,False,"[""add_day_slot_96_from_next_day_for_plot"", ""add_periodic_day_slot_96_for_plot"", ""build_base_lazy_frame"", ""build_calendar_lookup"", ""build_cluster_method_summary"", ""build_cluster_outputs"", ""build_date_type_expr"", ""build_fit_method_summary"", ""build_m1_feature_df"", ""build_m1_node_metadata"", ""build_m1_profiles_from_type_profiles"", ""build_m2_profiles_from_type_profiles"", ""build_method_comparison_table"", ""build_normalized_shape_features"", ""build_plot_day_slots"", ""build_plot_ready_fitted_curve_df"", ""build_representative_curves"", ""build_single_curve_feature_df"", ""build_single_curve_metadata"", ""collect_m0_profiles""]","[""--holiday-weight"", ""--methods"", ""--node-sample-size"", ""--weekend-weight"", ""--workday-weight""]",
analysis_scripts/compare_node_flow_fourier_orders.py,compare_node_flow_fourier_orders.py,analysis,True,6233.0,2026-05-22T23:46:32,未找到明确证据，需要人工确认,False,False,False,False,False,False,False,False,False,"[""compare_harmonics_orders"", ""evaluate_harmonics"", ""iter_complete_node_frames"", ""main"", ""parse_args"", ""save_comparison_results""]","[""--harmonics"", ""--output""]",
analysis_scripts/compute_greenshields_density.py,compute_greenshields_density.py,analysis,True,11651.0,2026-05-21T01:04:22,未找到明确证据，需要人工确认,False,False,False,False,False,False,False,False,False,"[""build_density_metrics_query"", ""build_output_path"", ""cast_metric_columns"", ""clean_float_expr"", ""clean_int_expr"", ""clean_string_expr"", ""collect_streaming"", ""find_speed_chunk_files"", ""load_speed_param_frame"", ""main"", ""process_chunk_files"", ""require_columns"", ""scan_speed_chunk"", ""write_lazy_result""]",[],
analysis_scripts/compute_node_intersection_flow_optimized.py,compute_node_intersection_flow_optimized.py,analysis,True,16603.0,2026-05-31T23:28:24,未找到明确证据，需要人工确认,False,False,False,True,False,False,False,False,False,"[""check_required_columns"", ""clean_segment_flow_df"", ""compute_node_flow"", ""extract_chunk_index"", ""inspect_time_periods"", ""load_road_network_mapping"", ""main"", ""process_one_file""]",[],
analysis_scripts/fit_node_flow_daily_curve.py,fit_node_flow_daily_curve.py,analysis,True,8415.0,2026-05-22T22:25:32,函数曲线或形态建模相关脚本,False,False,False,True,False,False,False,False,False,"[""build_fourier_design_matrix"", ""ensure_required_columns"", ""fit_all_node_curves"", ""fit_one_node_curve"", ""load_and_build_daily_profile"", ""main"", ""save_outputs""]",[],
analysis_scripts/full_intersection_missingness_pipeline.py,full_intersection_missingness_pipeline.py,required,True,86558.0,2026-06-12T00:55:41,完整路口真实数据缺失构造、历史因果补全、验证与汇总流水线,True,True,True,True,True,True,True,True,True,"[""aggregate_detail"", ""apply_constraints"", ""build_audit_payload"", ""build_day_matrix"", ""build_fourier_features"", ""build_impute_stub"", ""build_main_summary"", ""build_neighbor_lookup"", ""build_node_flow_groups"", ""build_run_stub"", ""build_time_slot_mapping"", ""collect_history_points_for_node"", ""collect_history_values_for_node"", ""compute_metric_stats"", ""ensure_directory"", ""find_first_existing_column"", ""flatten_matrix_to_frame"", ""forward_fill_causal_value"", ""function_curve_fit_value"", ""geo_func_hybrid_value""]","[""--allow_current_day_past"", ""--block_lengths"", ""--causal_history_only"", ""--clip_nonnegative"", ""--context_days_after"", ""--context_days_before"", ""--exclude_warmup_from_main_metrics"", ""--fourier_order"", ""--geo_lambda"", ""--historical_trend_points"", ""--history_days"", ""--impute_methods"", ""--input_dir"", ""--input_pattern"", ""--max_chunks"", ""--max_rows"", ""--mechanism"", ""--min_fit_points"", ""--missing_rates"", ""--node_col"", ""--node_quantile_cap"", ""--node_quantile_cap_multiplier"", ""--output_dir"", ""--period"", ""--resume"", ""--save_masks"", ""--seed"", ""--skip_existing"", ""--stage"", ""--target_col"", ""--time_col"", ""--topology_path"", ""--warmup_days"", ""--write_imputed_datasets"", ""--write_missing_datasets""]",代码显式禁止使用未来日期上下文。 支持保存 masks。 支持保存缺失数据集。 支持保存插补数据集。 存在 warmup 相关配置。
analysis_scripts/inventory_real_missingness_assets.py,inventory_real_missingness_assets.py,analysis,True,82453.0,2026-06-14T00:10:41,缺失或插补相关脚本,True,True,True,True,True,True,True,True,True,"[""analyze_code_file"", ""analyze_document_file"", ""analyze_result_directory"", ""analyze_run_config"", ""analyze_summary_table"", ""analyze_visualization_file"", ""build_current_state_json"", ""build_method_matrix"", ""build_open_issues_md"", ""build_run_config_map"", ""build_run_matrix"", ""build_state_audit_md"", ""build_workflow_summary"", ""collect_directory_stats"", ""companion_json"", ""contains_keyword"", ""detect_code_category"", ""detect_document_topic"", ""detect_metric"", ""detect_old_experiment_future_risk""]","[""--output_dir"", ""--project_root""]",存在 bfill 或双向插值迹象，需警惕未来信息泄露风险。 代码显式禁止使用未来日期上下文。 支持保存 masks。 支持保存缺失数据集。 支持保存插补数据集。 存在 warmup 相关配置。
analysis_scripts/real_data_missingness_experiment.py,real_data_missingness_experiment.py,required,True,51218.0,2026-06-11T10:43:46,早期样本级真实数据人工缺失注入与简单插补评估脚本,True,True,False,True,False,False,True,False,False,"[""aggregate_actual_missing_rates"", ""aggregate_imputation_quality"", ""apply_mask"", ""build_fourier_design_matrix"", ""compute_imputation_metrics"", ""configure_missing_rate_axis"", ""detect_node_column"", ""detect_target_column"", ""detect_time_column"", ""ensure_directory"", ""find_first_existing_column"", ""function_curve_fit_impute"", ""geo_func_hybrid_impute"", ""geo_neighbor_impute"", ""get_parquet_columns"", ""get_relative_path"", ""impute_target"", ""list_input_files"", ""load_neighbor_edges"", ""main""]","[""--fourier_order"", ""--geo_lambda"", ""--impute_methods"", ""--input_dir"", ""--input_pattern"", ""--max_files"", ""--max_rows"", ""--mechanisms"", ""--min_fit_points"", ""--missing_rates"", ""--node_col"", ""--output_dir"", ""--period"", ""--sample_mode"", ""--sample_nodes"", ""--save_masks"", ""--seeds"", ""--target_col"", ""--time_col"", ""--topology_path"", ""--write_corrupted"", ""--write_imputed""]",存在 bfill 或双向插值迹象，需警惕未来信息泄露风险。 支持保存 masks。 支持保存缺失数据集。 支持保存插补数据集。
analysis_scripts/visualize_fitted_function_clusters.py,visualize_fitted_function_clusters.py,analysis,True,45350.0,2026-06-07T01:57:08,函数曲线或形态建模相关脚本,False,False,False,False,False,False,False,False,False,"[""build_cluster_mean_curve_lookup"", ""build_cluster_median_curve_lookup"", ""build_cluster_quantile_curves"", ""build_cluster_summary_from_curve_df"", ""build_function_cluster_summary"", ""build_node_function_cluster_labels"", ""build_residual_boxplot"", ""build_saved_center_curve_lookup"", ""build_summary_lookup"", ""cluster_display_name"", ""configure_fonts"", ""ensure_input_files"", ""format_cluster_title"", ""main"", ""normalize_series"", ""parse_args"", ""plot_all_fitted_functions_diagnostic"", ""plot_cluster_function_quantile_bands"", ""plot_cluster_mean_fitted_vs_center"", ""plot_fitted_function_overlay""]","[""--all-curves-alpha"", ""--curve-type"", ""--diagnostic-y-max"", ""--main-y-max"", ""--method"", ""--output-dir"", ""--overlay-center-type"", ""--plot-y-quantile"", ""--random-state"", ""--representative-top-n"", ""--sample-per-cluster"", ""--show-observed""]",
