item,estimated_size_gb,note
input_parquet,3.52,"61 chunks, 61 days"
1_missing_dataset_1rate,3.52,One rate x 61 days
5_missing_datasets,17.60,5 rates x 61 days
1_imputed_dataset_1method_1rate,3.52,One method x one rate x 61 days
25_imputed_datasets_5rates_5methods,87.98,5 rates x 5 methods x 61 days
total_all_rates_all_methods,105.58,5 missing + 25 imputed
total_0p05_rate_only_5methods,21.12,1 missing + 5 imputed
disk_free_space,466.74,E: drive
sufficient_for_all,True,466.74 > 105.58
sufficient_for_0p05,True,466.74 > 21.12
recommendation,Proceed with smoke test only. Do not run full 61x5x5 without confirmation.,
